id,wikidata,given-names,family-names,image_source,wikipedia_url,wikipedia_bio,image_location,image_small,image_thumb,image_alt_text
68,Q983544,Ishmael,Reed,Wikipedia,https://en.wikipedia.org/wiki/Ishmael_Reed,"Ishmael Scott Reed is an American poet, novelist, essayist, songwriter, composer, playwright, editor and publisher known for his satirical works challenging American political culture. Perhaps his best-known work is Mumbo Jumbo (1972), a sprawling and unorthodox novel set in 1920s New York. Reed's work represents neglected African and African-American perspectives. (Source: Wikipedia)",/objects/68.jpg,/objects/small/68_sm.jpg,/objects/thumbs/68_th.jpg,Image of Ishmael Reed from Wikipedia
69,Q452282,Mordecai,Richler,Wikipedia,https://en.wikipedia.org/wiki/Mordecai_Richler,"Mordecai Richler was a Canadian writer from Montreal, Quebec. He is best known for his novels set in Montreal's Jewish community; including The Apprenticeship of Duddy Kravitz (1959) and Barney's Version (1997). His 1970 novel St. Urbain's Horseman and 1989 novel Solomon Gursky Was Here were nominated for the Booker Prize. He is also well known for the Jacob Two-Two fantasy series for children. (Source: Wikipedia)",/objects/69.jpg,/objects/small/69_sm.jpg,/objects/thumbs/69_th.jpg,Image of Mordecai Richler from Wikipedia
70,Q273001,Leslie Marmon,Silko,Wikipedia,https://en.wikipedia.org/wiki/Leslie_Marmon_Silko,"Leslie Marmon Silko is an American writer. A woman of Laguna Pueblo descent, she is one of the key figures in the First Wave of what literary critic Kenneth Lincoln has called the Native American Renaissance. (Source: Wikipedia)",/objects/70.jpg,/objects/small/70_sm.jpg,/objects/thumbs/70_th.jpg,Image of Leslie Marmon Silko from Wikipedia
71,Q233956,Muriel,Spark,Wikipedia,https://en.wikipedia.org/wiki/Muriel_Spark,"Dame Muriel Sarah Spark was a Scottish novelist, short story writer, poet and essayist. (Source: Wikipedia)",/objects/71.jpg,/objects/small/71_sm.jpg,/objects/thumbs/71_th.jpg,Image of Muriel Spark from Wikipedia
72,Q6439347,Krupabai,Satthianadhan,Wikipedia,https://en.wikipedia.org/wiki/Krupabai_Satthianadhan,Krupabai Satthianadhan (1862–1894) was an Indian writer who wrote in English. (Source: Wikipedia),/objects/72.jpg,/objects/small/72_sm.jpg,/objects/thumbs/72_th.jpg,Image of Krupabai Satthianadhan from Wikipedia
73,Q2368953,Susan,Taubes,Wikipedia,https://en.wikipedia.org/wiki/Susan_Taubes,"Susan Taubes was a Hungarian-American writer and scholar. She is best known for her novel Divorcing, published shortly before her suicide in 1969. (Source: Wikipedia)",/objects/73.jpg,/objects/small/73_sm.jpg,/objects/thumbs/73_th.jpg,Image of Susan Taubes from Wikipedia
74,Q302910,Ngũgĩ wa,Thiong'o,Wikipedia,https://en.wikipedia.org/wiki/Ngũgĩ_wa_Thiong%27o,"Ngũgĩ wa Thiong'o was a Kenyan author and academic, who has been described as East Africa's leading novelist and an important figure in modern African literature. (Source: Wikipedia)",/objects/74.jpg,/objects/small/74_sm.jpg,/objects/thumbs/74_th.jpg,Image of Ngũgĩ wa Thiong'o from Wikipedia
75,Q361562,Amos,Tutuola,Wikipedia,https://en.wikipedia.org/wiki/Amos_Tutuola,Amos Tutuola was a Nigerian writer who wrote books based in part on Yoruba folk-tales. (Source: Wikipedia),/objects/75.jpg,/objects/small/75_sm.jpg,/objects/thumbs/75_th.jpg,Image of Amos Tutuola from Wikipedia
76,Q454734,Evelyn,Underhill,Wikipedia,https://en.wikipedia.org/wiki/Evelyn_Underhill,"Evelyn Underhill was an English Anglo-Catholic writer and pacifist known for her numerous works on religion and spiritual practice, in particular Christian mysticism. Her best-known work is Mysticism, published in 1911. (Source: Wikipedia)",/objects/76.jpg,/objects/small/76_sm.jpg,/objects/thumbs/76_th.jpg,Image of Evelyn Underhill from Wikipedia
77,Q462270,Sylvia Townsend,Warner,Wikipedia,https://en.wikipedia.org/wiki/Sylvia_Townsend_Warner,"Sylvia Nora Townsend Warner was an English novelist, poet and musicologist, known for works such as the novels Lolly Willowes (1926) and The Corner That Held Them (1948), and the short story collection Kingdoms of Elfin (1977). She spent most of her adult life in partnership with the poet Valentine Ackland. (Source: Wikipedia)",/objects/77.jpg,/objects/small/77_sm.jpg,/objects/thumbs/77_th.jpg,Image of Sylvia Townsend Warner from Wikipedia
78,Q42511,H.G.,Wells,Wikipedia,https://en.wikipedia.org/wiki/H._G._Wells,"Herbert George Wells was an English writer, prolific in many genres. He wrote more than forty novels and dozens of short stories. His non-fiction output included works of social commentary, politics, history, popular science, satire, biography, and autobiography. Wells is most known today for his groundbreaking science fiction novels; he has sometimes been called the ""father of science fiction"", a title that has also been given to Jules Verne and Hugo Gernsback. (Source: Wikipedia)",/objects/78.jpg,/objects/small/78_sm.jpg,/objects/thumbs/78_th.jpg,Image of H.G. Wells from Wikipedia
79,Q3507232,Sylvia,Wynter,Open Library,https://en.wikipedia.org/wiki/Sylvia_Wynter,"Sylvia Wynter is a Jamaican novelist,[1] dramatist,[2] critic, philosopher, and essayist.[3] Her work combines insights from the natural sciences, the humanities, art, and anti-colonial struggles in order to unsettle what she refers to as the ""overrepresentation of Man"". Black studies, economics, history, neuroscience, psychoanalysis, literary analysis, film analysis, and philosophy are some of the fields she draws on in her scholarly work. (Source: Wikipedia)",/objects/79.jpg,/objects/small/79_sm.jpg,/objects/thumbs/79_th.jpg,Image of Sylvia Wynter from Open Library
80,Q63119443,Ismith,Khan,Goodreads,https://en.wikipedia.org/wiki/Ismith_Khan,"Mohamed Ismith Khan was a Trinidad and Tobago-born American author and educator. He is best known for his novel The Jumbie Bird, a semi-autobiographical work which blends Indian and Afro-Caribbean mythology and experience to explore the creation of a new Indo-Caribbean identity. (Source: Wikipedia)",/objects/80.jpg,/objects/small/80_sm.jpg,/objects/thumbs/80_th.jpg,Image of Ismith Khan from Goodreads
